%time,field.header.seq,field.header.stamp,field.header.frame_id,field.objects0.name,field.objects0.position.x,field.objects0.position.y,field.objects0.position.z,field.objects0.velocity.x,field.objects0.velocity.y,field.objects0.velocity.z
1651825346314613250,89,0,,Object 1,1.52061385279,0.0578729184417,0.0,0.398442629057,-0.741037228087,0.0
1651825346344134417,90,0,,Object 1,1.51140336207,0.0349386836859,0.0,0.45488129627,-0.175589336505,0.0
1651825346375489067,91,0,,Object 1,1.50319701211,0.00334519322085,0.0,0.48824362978,-0.433361066132,0.0
1651825346411849698,92,0,,Object 1,1.49744240396,-0.0379862555796,0.0,0.561455607082,-0.729687889858,0.0
1651825346445062664,93,0,,Object 1,1.4923395539,-0.0790416336344,0.0,0.581317096351,-0.721740643171,0.0
1651825346477151643,94,0,,Object 1,1.48524397915,-0.118297824771,0.0,0.521717375777,-0.664735410766,0.0
1651825346509547021,95,0,,Object 1,1.4796805605,-0.147372992114,0.0,0.566942754867,-0.358021801488,0.0
1651825346551941038,96,0,,Object 1,1.47121448155,-0.184865011403,0.0,0.482676261729,-0.604494414437,0.0
1651825346578526120,97,0,,Object 1,1.45828222749,-0.208991070939,0.0,0.354269103849,-0.209601598185,0.0
1651825346606545641,98,0,,Object 1,1.46068576341,-0.252850269672,0.0,0.58780065112,-1.07937349962,0.0
1651825346845968571,99,0,,Object 1,1.44951720775,-0.329531148792,0.0,0.466671134503,-0.696091322158,0.0
1651825346878225933,100,0,,Object 1,1.45333953792,-0.375238014626,0.0,0.217490021062,-0.933580773538,0.0
1651825346912834486,101,0,,Object 1,1.45167506185,-0.429078922392,0.0,0.0555319352821,-1.16924751839,0.0
1651825346948948055,102,0,,Object 1,1.44306650746,-0.469899978372,0.0,-0.158872310246,-0.775494849441,0.0
1651825347179089856,103,0,,Object 1,1.41703230715,-0.53712030861,0.0,-0.346701412682,-0.692541082681,0.0
1651825347323588406,104,0,,Object 1,1.39455948028,-0.601983921814,0.0,-0.594689297268,-0.489164263615,0.0
1651825347349208326,105,0,,Object 1,1.39989678521,-0.672119859416,0.0,0.33106064989,-1.12825579358,0.0
1651825347588342176,106,0,,Object 1,1.38852168988,-0.765634433341,0.0,0.266096255347,-0.732019318527,0.0
1651825347619452791,107,0,,Object 1,1.37416184054,-0.844319200194,0.0,-0.11682860834,-1.02068552138,0.0
1651825348014168958,108,0,,Object 1,1.36043366895,-0.958249666615,0.0,0.115995964053,-0.757352794143,0.0
1651825348055947163,109,0,,Object 1,1.34150370535,-1.0298804478,0.0,-0.182598174771,-0.367781012561,0.0
1651825348082427610,110,0,,Object 1,1.31309216619,-1.12472824893,0.0,-0.470099961901,-1.06813060823,0.0
1651825348100293168,111,0,,Object 1,1.31263794139,-1.21402766184,0.0,0.374767720842,-0.901051731337,0.0
1651825348159316214,112,0,,Object 1,1.27554798629,-1.31349463767,0.0,0.4357783629,-1.3160806879,0.0
1651825348196143246,113,0,,Object 1,1.24088167794,-1.39721065351,0.0,-0.27668589179,-0.762042830801,0.0
1651825348232317086,114,0,,Object 1,1.20884715985,-1.48183703948,0.0,-0.286851634221,-1.23431878028,0.0
1651825348284917682,115,0,,Object 1,1.1782515534,-1.55076094176,0.0,-0.248037144512,-0.765297106848,0.0
1651825348329413576,116,0,,Object 1,1.16406022392,-1.60598896122,0.0,0.246956259932,-0.354376098472,0.0
1651825348348370026,117,0,,Object 1,1.12987221398,-1.68229275182,0.0,-0.34895371252,-0.984026352481,0.0
1651825348361274090,118,0,,Object 1,1.10371491547,-1.73226865366,0.0,-0.22236168554,-0.488845670061,0.0
1651825348674463758,119,0,,Object 1,1.05095228319,-1.81938641913,0.0,-0.318778888519,-0.827667474915,0.0
1651825351628930740,120,0,,Object 1,0.550601642944,-1.09548339481,0.0,-0.0401918552946,0.960478937085,0.0
1651825351661571865,121,0,,Object 1,0.590687439868,-1.05621373537,0.0,0.497018170284,0.726802016634,0.0
1651825351697365775,122,0,,Object 1,0.600616478014,-1.01581285163,0.0,-0.168908613445,1.14742780918,0.0
1651825351728291416,123,0,,Object 1,0.60900251319,-0.987047423919,0.0,-0.212397777097,0.799204947073,0.0
1651825351764480308,124,0,,Object 1,0.64221790579,-0.970685062747,0.0,0.529281376655,0.427156327631,0.0
1651825351914324646,125,0,,Object 1,0.650684081164,-0.911820972375,0.0,0.438709808167,0.590270678553,0.0
1651825351931380955,126,0,,Object 1,0.662922906817,-0.878193973034,0.0,0.360356643788,0.534423481754,0.0
1651825351962902906,127,0,,Object 1,0.667619483728,-0.858437939894,0.0,0.133480105544,0.117328254066,0.0
1651825351998158804,128,0,,Object 1,0.678317361603,-0.814629916759,0.0,0.315135610839,0.840135201556,0.0
1651825352031485238,129,0,,Object 1,0.692075246105,-0.783413506898,0.0,0.406062148303,0.462246482645,0.0
1651825352072567166,130,0,,Object 1,0.693477829297,-0.744871064436,0.0,0.0381698369314,0.677335185062,0.0
1651825352098965941,131,0,,Object 1,0.694414449673,-0.713439180863,0.0,0.0223238066599,0.467855039044,0.0
1651825352137181282,132,0,,Object 1,0.714699008886,-0.679260034479,0.0,0.604394713244,0.551161994766,0.0
1651825352159665635,133,0,,Object 1,0.718966619641,-0.645457965778,0.0,0.230911394937,0.657525663217,0.0
1651825352194398884,134,0,,Object 1,0.731211087283,-0.612086836906,0.0,0.475036928824,0.655578682116,0.0
1651825352245795794,135,0,,Object 1,0.740597681672,-0.588788995848,0.0,0.385932124491,0.349006343329,0.0
1651825352262404467,136,0,,Object 1,0.749266222412,-0.548132239311,0.0,0.361052631129,0.866652493005,0.0
1651825352292690166,137,0,,Object 1,0.762150297562,-0.507004140347,0.0,0.490051709679,0.887108017133,0.0
1651825352326370312,138,0,,Object 1,0.772158758897,-0.469431320826,0.0,0.403196215618,0.772752357026,0.0
1651825352360948109,139,0,,Object 1,0.778887995318,-0.427899212814,0.0,0.303469940879,0.892943077953,0.0
1651825352396344358,140,0,,Object 1,0.781716481143,-0.421960285773,0.0,0.0949836670228,0.18928414248,0.0
1651825352430388495,141,0,,Object 1,0.775221231521,-0.398514306428,0.0,-0.208950390328,0.720426891195,0.0
1651825352467550806,142,0,,Object 1,0.795836007478,-0.35233609886,0.0,0.604027131885,1.37237046351,0.0
1651825352502607111,143,0,,Object 1,0.791231974667,-0.31488448144,0.0,-0.143605916606,1.12617628648,0.0
1651825352533644917,144,0,,Object 1,0.80630846643,-0.291047959789,0.0,0.441280085339,0.71865711975,0.0
1651825352575565681,145,0,,Object 1,0.818778687248,-0.273069567905,0.0,0.36873526622,0.5379262772,0.0
1651825352632613328,146,0,,Object 1,0.826111096085,-0.217565487669,0.0,0.431630013178,0.271944765795,0.0
1651825352668106620,147,0,,Object 1,0.8050428626,-0.175858309127,0.0,-0.577124010365,0.791397939413,0.0
1651825352767318669,148,0,,Object 1,0.82306126397,-0.140450975029,0.0,-0.00666971980615,0.227744793932,0.0
1651825352966882296,149,0,,Object 1,0.820632594649,-0.0716186443599,0.0,-0.391930833625,0.930236936448,0.0
1651825353006669131,150,0,,Object 1,0.835912003412,-0.0297902644484,0.0,0.258110270409,0.483754534152,0.0
1651825353041896370,151,0,,Object 1,0.839499920198,0.00960059607876,0.0,-0.0934910338252,0.411550664161,0.0
1651825353075690614,152,0,,Object 1,0.841501523058,0.0497186724243,0.0,-0.141928666249,0.430377237396,0.0
1651825353110065873,153,0,,Object 1,0.857106711526,0.0936748320931,0.0,0.26825597254,0.549952387167,0.0
1651825353246178478,154,0,,Object 1,0.857200162259,0.151313424965,0.0,0.102662305862,-0.0262484571452,0.0
1651825353326983774,155,0,,Object 1,0.865148822057,0.223496338294,0.0,0.338052772601,0.526767200381,0.0
1651825353365516381,156,0,,Object 1,0.876317356907,0.278037530805,0.0,0.307165989603,0.350449035246,0.0
1651825353412788859,157,0,,Object 1,0.883100740641,0.329508256985,0.0,0.179639004953,0.261823743751,0.0
1651825353447604493,158,0,,Object 1,0.893131225016,0.385079669105,0.0,0.27883014659,0.400715395533,0.0
1651825353533254910,159,0,,Object 1,0.887604836623,0.444590165824,0.0,0.43786297839,0.628536488966,0.0
1651825353573057713,160,0,,Object 1,0.892680385417,0.483765560966,0.0,0.340669776528,-0.0659703451433,0.0
1651825353600551740,161,0,,Object 1,0.899047056425,0.524913856811,0.0,0.304180484993,0.462193899742,0.0
1651825353665635819,162,0,,Object 1,0.915239668535,0.582404314098,0.0,1.13585912079,0.0191879956135,0.0
